#Energy	pz
-23.18693	0
-23.17593	0
-23.16493	0
-23.15393	0
-23.14393	0
-23.13293	0
-23.12193	0
-23.11093	0
-23.09993	0
-23.08993	0
-23.07893	0
-23.06793	0
-23.05693	0
-23.04593	0
-23.03593	0
-23.02493	0
-23.01393	0
-23.00293	0
-22.99193	0
-22.98193	0
-22.97093	0
-22.95993	0
-22.94893	0
-22.93893	0
-22.92793	0
-22.91693	0
-22.90593	0
-22.89493	0
-22.88493	0
-22.87393	0
-22.86293	0
-22.85193	0
-22.84093	0
-22.83093	0
-22.81993	0
-22.80893	0
-22.79793	0
-22.78693	0
-22.77693	0
-22.76593	0
-22.75493	0
-22.74393	0
-22.73393	0
-22.72293	0
-22.71193	0
-22.70093	0
-22.68993	0
-22.67993	0
-22.66893	0
-22.65793	0
-22.64693	0
-22.63593	0
-22.62593	0
-22.61493	0
-22.60393	0
-22.59293	0
-22.58193	0
-22.57193	0
-22.56093	0
-22.54993	0
-22.53893	0
-22.52893	0
-22.51793	0
-22.50693	0
-22.49593	0
-22.48493	0
-22.47493	0
-22.46393	0
-22.45293	0
-22.44193	0
-22.43093	0
-22.42093	0
-22.40993	0
-22.39893	0
-22.38793	0
-22.37693	0
-22.36693	0
-22.35593	0
-22.34493	0
-22.33393	0
-22.32393	0
-22.31293	0
-22.30193	0
-22.29093	0
-22.27993	0
-22.26993	0
-22.25893	0
-22.24793	0
-22.23693	0
-22.22593	0
-22.21593	0
-22.20493	0
-22.19393	0
-22.18293	0
-22.17193	0
-22.16193	0
-22.15093	0
-22.13993	0
-22.12893	0
-22.11893	0
-22.10793	0
-22.09693	0
-22.08593	0
-22.07493	0
-22.06493	0
-22.05393	0
-22.04293	0
-22.03193	0
-22.02093	0
-22.01093	0
-21.99993	0
-21.98893	0
-21.97793	0
-21.96693	0
-21.95693	0
-21.94593	0
-21.93493	0
-21.92393	0
-21.91393	0
-21.90293	0
-21.89193	0
-21.88093	0
-21.86993	0
-21.85993	0
-21.84893	0
-21.83793	0
-21.82693	0
-21.81593	-1E-5
-21.80593	-2E-5
-21.79493	-4E-5
-21.78393	-7E-5
-21.77293	-1.3E-4
-21.76293	-2.2E-4
-21.75193	-3.3E-4
-21.74093	-4.5E-4
